idPlanEstudio, Carrera, Facultad, Letra, Cant Periodo 2011, Cant Periodo 2012, 
71,Ciclo Básico,Facultad de Ciencias Económicas,X,65,0,
31,Abogacía,Facultad de Ciencias Juridicas y Sociales,A,53,19,
38,Contador Público,Facultad de Ciencias Económicas,K,52,23,
18,Arquitectura,Facultad de Arquitectura y Urbanismo,B,43,8,
102,Abogacía,Facultad Ciencias Jurídicas,GA,42,4,
2,Profesorado Universitario de Educación Física,Facultad de Ciencias de la Comunicación y de la Educación,B,42,12,
53,Arquitectura,Facultad de Arquitectura y Urbanismo,A,41,0,
15,Ingenieria Agronómica,Facultad de Ciencias Agrarias,A,28,4,
82,Abogacía,Facultad de Ciencias Juridicas y Sociales,V,26,0,
7,Profesorado de Enseñanza Superior,Facultad de Ciencias de la Comunicación y de la Educación,A,24,1,
16,Licenciatura en Nutricion,Facultad de Ciencias de la Salud,B,23,11,
91,Profesorado de Enseñanza Superior (Villaguay),Facultad de Ciencias de la Comunicación y de la Educación,,23,1,
96,Lic. En Comercio Internacional,Facultad de Ciencias Económicas,C,22,2,
97,Carrera Docente,Facultad de Ciencias de la Comunicación y de la Educación,D,15,1,
50,Técnico Universitario en Administración de Pequeña y Mediana Empresa,Facultad de Ciencias Económicas,P,14,2,
19,Diseño de Interiores,Facultad de Arquitectura y Urbanismo,A,12,3,
43,Licenciatura en Administración de Empresas,Facultad de Ciencias Económicas,L,11,1,
101,Licenciatura en Marketing,Facultad de Ciencias Económicas,M,10,0,
13,Licenciatura en Periodismo,Facultad de Ciencias de la Comunicación y de la Educación,A,6,2,
5,Locución Nacional de Radio y Televisión,Facultad de Ciencias de la Comunicación y de la Educación,A,4,1,
45,Licenciatura en Economía,Facultad de Ciencias Económicas,M,3,0,
17,Licenciatura en Bromatologia,Facultad de Ciencias de la Salud,A,1,0,
46,Maestría en Administración y Dirección de Empresas y Negocios,Facultad de Ciencias Económicas,N,1,0,
41,Licenciatura en Administración de empresas,Facultad de Ciencias Económicas,F,1,0,
72,Ciclo Básico,Facultad de Ciencias Económicas,Z,1,0,
49,Técnico Bancario,Facultad de Ciencias Económicas,T,0,0,
60,Licenciatura En Gestión De La Educación Inicial,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
80,Lic. En Gestión de la Educación Inicial,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
98,Carrera Docente,Facultad de Ciencias Económicas,G,0,0,
36,Contador Público,Facultad de Ciencias Económicas,A,0,0,
59,Licenciatura en Gestión de la Educación Inicial,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
69,Licenciatura en Periodismo,Facultad de Ciencias de la Comunicación y de la Educación,H,0,0,
79,Lic. En Gestión de la Educación Inicial,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
35,Contador Público,Facultad de Ciencias Económicas,B,0,0,
58,Licenciatura en Gestión del 1er y 2do Ciclo de la Enseñanza General Básica,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
68,Licenciatura en Periodismo,Facultad de Ciencias de la Comunicación y de la Educación,G,0,0,
78,Lic. en Gestión del 1 y 2 Ciclo de la EGB,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
34,Contabilidad de las O.N.G.,Facultad de Ciencias Económicas,R,0,0,
44,Licenciatura en Economía,Facultad de Ciencias Económicas,E,0,1,
57,Licenciatura En Gestión Del 1 Y 2 Ciclo de la enseñanza General Básica,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
67,Locución Nacional de Radio y Televisión,Facultad de Ciencias de la Comunicación y de la Educación,F,0,0,
77,Carrera Docente,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
95,Gestión Adm. Informatizada,Facultad de Ciencias Económicas,B,0,3,
33,Licenciatura Comercio Internacional,Facultad de Ciencias Económicas,,0,0,
56,Licenciatura En Gestión Educación Inicial,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
66,Cursos,Facultad de Ciencias de la Comunicación y de la Educación,cu,0,0,
76,Lic. en Gestión del 1 y 2 Ciclo de la EGB,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
94,viejo Gestión Adm. Informatizada,Facultad de Ciencias Económicas,A,0,0,
42,Licenciatura en Administración de Empresas,Facultad de Ciencias Económicas,G,0,0,
55,Licenciatura En Gestión 1er Y 2do Ciclo de la Enseñanza General Básica,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
65,Locución Nacional de Radio y Televisión,Facultad de Ciencias de la Comunicación y de la Educación,D,0,0,
75,Lic. En Gestión de la Educación Inicial,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
92,Abogacia (prueba),Facultad de Ciencias Juridicas y Sociales,,0,0,
23,Licenciatura en Comercio Internacional,Facultad de Ciencias Económicas,A,0,0,
54,Carrera Docente,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
64,Locución Nacional de Radio y Televisión,Facultad de Ciencias de la Comunicación y de la Educación,C,0,0,
74,Lic. En Gestión del 1 Y 2 Ciclo de la EGB,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
20,Contador Público,Facultad de Ciencias Económicas,K,0,0,
40,Especialización en Sindicatura Concursal,Facultad de Ciencias Económicas,S,0,0,
63,Locución Nacional de Radio y Televisión,Facultad de Ciencias de la Comunicación y de la Educación,B,0,0,
73,Carrera Docente,Facultad de Ciencias de la Comunicación y de la Educación,,0,0,
90,Carrera Docente,Facultad de Ciencias de la Comunicación y de la Educación,D,0,0,
1,Licenciatura En Educación Fí­sica,Facultad de Ciencias de la Comunicación y de la Educación,A,0,0,
100,Lic. En Comercio Internacional,Facultad de Ciencias Económicas,L,0,0,
62,Locución Nacional de Radio y Televisión,Facultad de Ciencias de la Comunicación y de la Educación,A,0,0,
99,Lic. En Comercio Internacional,Facultad de Ciencias Económicas,I,0,0,
37,Contador Público,Facultad de Ciencias Económicas,C,0,0,
